Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",126.746000,-94.107000,-90.000000,top
"C2","10uF","C_0805_2012Metric",129.606000,-121.412000,180.000000,top
"C3","100nF","C_0805_2012Metric",137.414000,-110.744000,180.000000,top
"C4","1nF","C_0805_2012Metric",126.746000,-89.596000,-90.000000,top
"C5","10uF","C_0805_2012Metric",137.922000,-86.868000,90.000000,top
"C6","1uF","C_0805_2012Metric",130.490000,-84.455000,0.000000,top
"C7","10uF","C_0805_2012Metric",129.540000,-115.062000,180.000000,top
"C8","47nF","C_0805_2012Metric",132.334000,-98.044000,-90.000000,top
"C9","100nF","C_0805_2012Metric",129.540000,-118.364000,180.000000,top
"C10","1uF","C_0805_2012Metric",129.794000,-94.091800,-90.000000,top
"C11","1uF","C_0805_2012Metric",125.603000,-110.932000,-90.000000,top
"C12","10uF","C_0805_2012Metric",131.572000,-71.120000,180.000000,top
"C13","100nF","C_0805_2012Metric",131.572000,-68.326000,180.000000,top
"C14","10uF","C_0805_2012Metric",137.414000,-93.980000,180.000000,top
"C15","100nF","C_0805_2012Metric",128.143000,-110.932000,-90.000000,top
"C16","100nF","C_0805_2012Metric",125.730000,-102.550000,-90.000000,top
"C17","470nF","C_0805_2012Metric",132.014000,-107.442000,180.000000,top
"C18","2.2uF","C_0805_2012Metric",122.367000,-105.918000,180.000000,top
"C19","1uF","C_0805_2012Metric",122.174000,-110.744000,180.000000,top
"D1","RED","LED_0603_1608Metric",108.204000,-91.440000,0.000000,top
"D2","RED","LED_0603_1608Metric",108.204000,-96.012000,0.000000,top
"D3","RED","LED_0603_1608Metric",108.204000,-100.584000,0.000000,top
"D4","YELLOW","LED_0603_1608Metric",108.229500,-82.804000,0.000000,top
"D5","BLUE","LED_0603_1608Metric",108.204000,-87.376000,0.000000,top
"J1","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",107.950000,-124.714000,90.000000,top
"J2","SMA","SMA_Amphenol_132134-16_Vertical",110.236000,-69.088000,0.000000,top
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",107.950000,-115.570000,90.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",118.110000,-115.570000,90.000000,top
"L1","Ferrit","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.063000,-102.632000,-90.000000,top
"L2","Ferrit","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.190000,-108.331000,0.000000,top
"Q1","BSN20","SOT-23",122.936000,-74.041000,0.000000,top
"Q2","BSN20","SOT-23",122.920000,-78.613000,0.000000,top
"Q3","BSN20","SOT-23",122.920000,-83.185000,0.000000,top
"R1","10k","R_0805_2012Metric",130.452500,-82.042000,0.000000,top
"R2","100R","R_0805_2012Metric",118.895500,-82.042000,180.000000,top
"R3","100R","R_0805_2012Metric",118.872000,-75.184000,180.000000,top
"R4","10k","R_0805_2012Metric",130.556000,-79.756000,180.000000,top
"R5","100R","R_0805_2012Metric",118.895500,-79.756000,180.000000,top
"R6","4k7","R_0805_2012Metric",118.872000,-72.898000,180.000000,top
"R7","4k7","R_0805_2012Metric",118.872000,-77.470000,180.000000,top
"R8","4k7","R_0805_2012Metric",118.895500,-84.328000,180.000000,top
"R9","2k2","R_0805_2012Metric",117.475000,-89.281000,0.000000,top
"R10","10R","R_0805_2012Metric",132.334000,-94.081600,-90.000000,top
"R11","3k3","R_0805_2012Metric",117.498500,-93.472000,180.000000,top
"R12","100k","R_0805_2012Metric",128.270000,-102.512500,90.000000,top
"R13","150k","R_0805_2012Metric",131.929500,-102.870000,180.000000,top
"R14","#2.2k","R_0805_2012Metric",131.976500,-105.156000,0.000000,top
"R15","1k","R_0805_2012Metric",131.976500,-109.728000,0.000000,top
"R16","1k","R_0805_2012Metric",113.053500,-91.440000,0.000000,top
"R17","1k","R_0805_2012Metric",113.006500,-96.012000,0.000000,top
"R18","1k","R_0805_2012Metric",113.030000,-100.584000,0.000000,top
"R19","1k","R_0805_2012Metric",113.030000,-82.804000,0.000000,top
"R20","1k","R_0805_2012Metric",113.053500,-87.376000,0.000000,top
"RV1","10k","Potentiometer_Vishay_TS53YL_Vertical",122.174000,-91.904000,-90.000000,top
"RV2","10k","Potentiometer_Vishay_TS53YL_Vertical",109.728000,-107.232000,90.000000,top
"U1","AP1117-33","SOT-223-3_TabPin2",135.509000,-118.212000,90.000000,top
"U2","LM386","SOIC-8_3.9x4.9mm_P1.27mm",132.523000,-88.519000,0.000000,top
"U4","MAX9814","DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm",127.000000,-106.680000,0.000000,top
