"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"U3";"DRA818";1;"DRA818U";;;
2;"C1,C6,C10,C11,C19";"C_0805_2012Metric";5;"1uF";;;
3;"C2,C5,C7,C12,C14";"C_0805_2012Metric";5;"10uF";;;
4;"C3,C9,C13,C15,C16";"C_0805_2012Metric";5;"100nF";;;
5;"C4";"C_0805_2012Metric";1;"1nF";;;
6;"C8";"C_0805_2012Metric";1;"47nF";;;
7;"C17";"C_0805_2012Metric";1;"470nF";;;
8;"C18";"C_0805_2012Metric";1;"2.2uF";;;
9;"J2";"SMA_Amphenol_132134-16_Vertical";1;"SMA";;;
10;"J3,J4";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
11;"Q1,Q2,Q3";"SOT-23";3;"BSN20";;;
12;"R1,R4";"R_0805_2012Metric";2;"10k";;;
13;"R2,R3,R5";"R_0805_2012Metric";3;"100R";;;
14;"R6,R7,R8";"R_0805_2012Metric";3;"4k7";;;
15;"R9";"R_0805_2012Metric";1;"2k2";;;
16;"R10";"R_0805_2012Metric";1;"10R";;;
17;"R11";"R_0805_2012Metric";1;"3k3";;;
18;"R12";"R_0805_2012Metric";1;"100k";;;
19;"R14";"R_0805_2012Metric";1;"#2.2k";;;
20;"R15,R16,R17,R19,R20,R18";"R_0805_2012Metric";6;"1k";;;
21;"U1";"SOT-223-3_TabPin2";1;"AP1117-33";;;
22;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM386";;;
23;"U4";"DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm";1;"MAX9814";;;
24;"RV1,RV2";"Potentiometer_Vishay_TS53YL_Vertical";2;"10k";;;
25;"L1,L2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"Ferrit";;;
26;"D1,D3,D2";"LED_0603_1608Metric";3;"RED";;;
27;"D4";"LED_0603_1608Metric";1;"YELLOW";;;
28;"D5";"LED_0603_1608Metric";1;"BLUE";;;
29;"J1";"PinHeader_2x08_P2.54mm_Vertical";1;"Conn_02x08_Odd_Even";;;
30;"R13";"R_0805_2012Metric";1;"150k";;;
31;"FL1";"Filter_Mini-Circuits_FV1206";1;"LFCN-160";;;
