"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C6,C10,C11,C19";"C_0805_2012Metric";5;"1uF";;;
2;"C2,C5,C7,C12,C14";"C_0805_2012Metric";5;"10uF";;;
3;"C3,C9,C13,C15,C16";"C_0805_2012Metric";5;"100nF";;;
4;"C4";"C_0805_2012Metric";1;"1nF";;;
5;"C8";"C_0805_2012Metric";1;"47nF";;;
6;"C17";"C_0805_2012Metric";1;"470nF";;;
7;"C18";"C_0805_2012Metric";1;"2.2uF";;;
8;"J2";"SMA_Amphenol_132134-16_Vertical";1;"SMA";;;
9;"J3,J4";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
10;"Q1,Q2,Q3";"SOT-23";3;"BSN20";;;
11;"R1,R4";"R_0805_2012Metric";2;"10k";;;
12;"R2,R3,R5";"R_0805_2012Metric";3;"100R";;;
13;"R6,R7,R8";"R_0805_2012Metric";3;"4k7";;;
14;"R9";"R_0805_2012Metric";1;"2k2";;;
15;"R10";"R_0805_2012Metric";1;"10R";;;
16;"R11";"R_0805_2012Metric";1;"3k3";;;
17;"R12";"R_0805_2012Metric";1;"100k";;;
18;"R14";"R_0805_2012Metric";1;"#2.2k";;;
19;"R15,R16,R17,R19,R20,R18";"R_0805_2012Metric";6;"1k";;;
20;"U1";"SOT-223-3_TabPin2";1;"AP1117-33";;;
21;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM386";;;
22;"U4";"DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm";1;"MAX9814";;;
23;"RV1,RV2";"Potentiometer_Vishay_TS53YL_Vertical";2;"10k";;;
24;"L1,L2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"Ferrit";;;
25;"D1,D3,D2";"LED_0603_1608Metric";3;"RED";;;
26;"D4";"LED_0603_1608Metric";1;"YELLOW";;;
27;"D5";"LED_0603_1608Metric";1;"BLUE";;;
28;"J1";"PinHeader_2x08_P2.54mm_Vertical";1;"Conn_02x08_Odd_Even";;;
29;"R13";"R_0805_2012Metric";1;"150k";;;
30;"J5";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels";1;"Conn_01x03";;;
31;"FL1";"Filter_Mini-Circuits_FV1206";1;"LFCN-160";;;
32;"U3";"DRA818";1;"DRA818U";;;
